A��CAR, TIPO CRISTAL, ASPECTO SOLIDO COM CRISTAIS BEM DEFINIDOS, COMPOSTO POR SACAROSE DE CANA DE A��CAR, COR : BRANCA -Obs:.MARCA: FORPAN:;PCT;3,5000;120,00;420,00;1702
ALHO, ISENTO DE SUJIDADES E MATERIAIS ESTRANHOS, BRANCO, CABECAS, COMPACTO E FIRME -Obs:.MARCA: CEASA:;PCT;16,0000;65,00;1.040,00;0703
AMIDO, DE MILHO, EMBALAGEM COM DADOS DE IDENTIFICA��O -Obs:.MARCA: AMAFIL:;PCT;8,0000;22,00;176,00;1108
ARROZ, LONGO FINO TIPO 1, BRANCO, POLIDO -Obs:.MARCA: POP:;PCT;5,5000;210,00;1.155,00;1006
AVEIA, FLOCOS FINOS, 100% NATURAL -Obs:.MARCA: NESTR�:;CX;6,5000;80,00;520,00;1103
AZEITE, OLIVA, 100% EXTRA VIRGEM -Obs:.MARCA: GALO:;PCT;29,0000;15,00;435,00;1509
BATATA, INGLESA, GRANDE -Obs:.MARCA: CEASA:;PCT;5,5000;80,00;440,00;0701
BOLO, SIMPLES, INGREDIENTES VARIADOS -Obs:.MARCA: SUPREMO:;PCT;8,5000;100,00;850,00;1905
CAF�, TORRADO E MOIDO, 1� QUALIDADE -Obs:.MARCA: PURO:;PCT;6,5000;50,00;325,00;0901
CARNES, PATINHO SEM OSSO -Obs:.:;PCT;21,0000;500,00;10.500,00;0202
FARINHA, DE MANDIOCA, QUEBRADINHA -Obs:.MARCA: DONAD�:;PCT;4,9000;40,00;588,00;1102
FARINHA, PRE COZIDA DE MILHO -Obs:.MARCA: MARAT�:;PCT;1,5000;40,00;300,00;1102
FARINHA L�CTEA, ENRIQUECIDA -Obs:.MARCA: NESTR�:;PCT;16,0000;30,00;960,00;1901
FEIJ�O, CARIOCA, TIPO 1 -Obs:.MARCA: KICALDO:;PCT;7,5000;50,00;375,00;0703
FEIJ�O, DE CORDA, TIPO 1 -Obs:.MARCA: KICALDO:;PCT;7,5000;80,00;600,00;0703
FEIJ�O, PRETO, TIPO 1 -Obs:.MARCA: KICALDO:;PCT;7,5000;80,00;600,00;0703
FRANGO, FILE DE PEITO, CONGELADO -Obs:.MARCA: CAN��O:;PCT;16,0000;200,00;3.200,00;0207
LEITE EM PO, DE VACA, INTEGRAL -Obs:.MARCA: GOODY:;PCT;11,0000;20,00;220,00;0402
LEITE, UHT OU ESTERILIZADO, INTEGRAL -Obs:.MARCA: MARANGUAPE:;PCT;4,5000;300,00;1.350,00;0402
MACARR�O, ESPAGUETE -Obs:.MARCA: GOSTOSO:;PCT;2,5000;100,00;250,00;1902
ESPECIARIAS, MANJERIC�O -Obs:.MARCA: LENA:;PCT;2,5000;30,00;75,00;0904
LOURO, FOLHA -Obs:.MARCA: LENA:;UND;2,5000;5,00;12,50;0904
MARGARINA VEGETAL, COM SAL -Obs:.MARCA: PRIMOR:;PCT;9,9000;40,00;396,00;1509
MEL, ABELHA -Obs:.MARCA: FAZENDA:;PCT;29,0000;30,00;870,00;1501
OLEO VEGETAL, DE SOJA -Obs:.MARCA: SOYA:;PCT;7,5000;80,00;600,00;1509
OVO, DE GALINHA SEM RACHADURAS -Obs:.MARCA: REGINA:;UND;0,6500;1.000,00;650,00;0407
PAO, MASSA FINA -Obs:.MARCA: SUPREMO:;PCT;4,5000;150,00;675,00;1905
PAO, DE LEITE -Obs:.MARCA: SUPREMO:;PCT;6,5000;80,00;520,00;1905
SAL, REFINADO, IODADO -Obs:.MARCA: LEBRE:;PCT;1,5000;50,00;75,00;2501
TORRADA, FARINHA DE TRIGO -Obs:.MARCA: SUPREMO:;PCT;5,9000;100,00;590,00;1905
VINAGRE, ALCOOL  -Obs:.MARCA: LORD:;PCT;2,5000;80,00;200,00;2202
